product_id,brand,product,description,price,product_link,img1,category
29174064,PIMU,PIMU Floral Embroidered A-Line Dress,PIMU Floral Embroidered A-Line Dress,719,https://www.myntra.com/dresses/pimu/pimu-floral-embroidered-a-line-dress/29174064/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/29174064/2024/4/24/bbc3a9fc-6bea-459f-8a49-99bf589309b91713982869262PIMUA-LineDress1.jpg",bohemian
29904489,BAESD,BAESD Floral Print Fit & Flare Dress,BAESD Floral Print Fit & Flare Dress,599,https://www.myntra.com/dresses/baesd/baesd-floral-print-fit--flare-dress/29904489/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/29904489/2024/6/6/da60197c-71b8-453a-9026-1dfe523c6f9e1717654899551BAESDFloralPrintFitFlareDress1.jpg",bohemian
25014538,DressBerry,DressBerry Floral Printed Puff Sleeve Fit & Flare Maxi Dress,DressBerry Floral Printed Puff Sleeve Fit & Flare Maxi Dress,1110,https://www.myntra.com/dresses/dressberry/dressberry-floral-printed-puff-sleeve-fit--flare-maxi-dress/25014538/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25014538/2023/9/17/d95c09c9-5f78-4728-b8d5-89b5bf4177131694893332655DressBerryBlackFloralPrintGeorgetteFitFlareMidiDress1.jpg",bohemian
27849892,Anouk,Anouk Floral Printed Roll-Up Sleeves Belted Pleated Fit & Flare Dress,Anouk Floral Printed Roll-Up Sleeves Belted Pleated Fit & Flare Dress,971,https://www.myntra.com/dresses/anouk/anouk-floral-printed-roll-up-sleeves-belted-pleated-fit--flare-dress/27849892/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/27849892/2024/2/24/19d60321-1b44-4202-b05a-10bb7ef298721708752787748WomensBlackFloralPrintedDress1.jpg",bohemian
23771806,Tokyo Talkies,Tokyo Talkies Red Floral Printed Puff Sleeves Gathered Detail Fit & Flare Dress,Tokyo Talkies Red Floral Printed Puff Sleeves Gathered Detail Fit & Flare Dress,749,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-red-floral-printed-puff-sleeves-gathered-detail-fit--flare-dress/23771806/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/23771806/2023/6/27/a1c8c87f-eefa-4e38-9631-94326bdcdecb1687837496062TokyoTalkiesRedFloralPrintPuffSleeveFitFlareDress1.jpg",bohemian
29163116,BAESD,BAESD Girls Floral Printed Bell Sleeve Ruffled Fit & Flare Dress,BAESD Girls Floral Printed Bell Sleeve Ruffled Fit & Flare Dress,599,https://www.myntra.com/dresses/baesd/baesd-girls-floral-printed-bell-sleeve-ruffled-fit--flare-dress/29163116/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/29163116/2024/4/24/b2cafa91-69f8-4ba4-82dc-ce2d1b1af7f81713956589682BAESDFloralPrintFitFlareDress1.jpg",bohemian
17787796,SASSAFRAS,SASSAFRAS Red & Beige Floral Waist Cut-Out Maxi Dress,SASSAFRAS Red & Beige Floral Waist Cut-Out Maxi Dress,899,https://www.myntra.com/dresses/sassafras/sassafras-red--beige-floral-waist-cut-out-maxi-dress/17787796/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/17787796/2022/4/19/b38a6c93-d709-4aa6-a4f1-e0010ecf78be1650366228666SASSAFRASRedBeigeFloralWaistCut-OutMaxiDress1.jpg",bohemian
13581108,SASSAFRAS,SASSAFRAS Pink & Orange Floral Printed Tiered A-Line Dress With Puff Sleeves,SASSAFRAS Pink & Orange Floral Printed Tiered A-Line Dress With Puff Sleeves,781,https://www.myntra.com/dresses/sassafras/sassafras-pink--orange-floral-printed-tiered-a-line-dress-with-puff-sleeves/13581108/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/13581108/2021/4/19/d93072af-5849-4db3-afda-b38d280580b61618828082305-SASSAFRAS-Women-Pink--Orange-Floral-Printed-Tiered-A-Line-Dr-1.jpg",bohemian
28620178,StyleCast x Revolte,StyleCast x Revolte Floral Printed Flared Sleeve Layered Fit & Flare Dress,StyleCast x Revolte Floral Printed Flared Sleeve Layered Fit & Flare Dress,1299,https://www.myntra.com/dresses/stylecast+x+revolte/stylecast-x-revolte-floral-printed-flared-sleeve-layered-fit--flare-dress/28620178/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/28620178/2024/4/2/30659bc9-b848-4900-860b-b4b925a9e9071712051480132StyleCastxRevoltePrintFlaredSleeveLayeredFitFlareDress1.jpg",bohemian
24000348,DressBerry,DressBerry Pink Floral Printed Puff Sleeves Square Neck Maxi Dress,DressBerry Pink Floral Printed Puff Sleeves Square Neck Maxi Dress,965,https://www.myntra.com/dresses/dressberry/dressberry-pink-floral-printed-puff-sleeves-square-neck-maxi-dress/24000348/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/24000348/2023/7/21/2870d25d-fcd8-42c1-a334-f8f92e580fb31689938455915-DressBerry-Pink-Floral-Printed-Puff-Sleeves-Square-Neck-Maxi-3.jpg",bohemian
26807136,KASYA,KASYA Floral Printed Round Neck Sleeveless A-Line Cotton Dress,KASYA Floral Printed Round Neck Sleeveless A-Line Cotton Dress,1149,https://www.myntra.com/dresses/kasya/kasya-floral-printed-round-neck-sleeveless-a-line-cotton-dress/26807136/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26807136/2024/1/6/0146cdda-6537-43f2-a5df-29915be89e191704533618560KASYAGreenFloralPrintA-LineDress1.jpg",bohemian
26207084,Cutiekins,Cutiekins Girls Floral Printed Tiered Georgette A-Line Dress,Cutiekins Girls Floral Printed Tiered Georgette A-Line Dress,549,https://www.myntra.com/dresses/cutiekins/cutiekins-girls-floral-printed-tiered-georgette-a-line-dress/26207084/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26207084/2023/12/2/c43f1f29-054a-4be5-ac34-4e1afe998a881701530961989CutiekinsPinkOffWhiteFloralPrintPuffSleeveGeorgetteMaxiDress1.jpg",bohemian
27985674,BAESD,BAESD Floral Print Fit & Flare Dress,BAESD Floral Print Fit & Flare Dress,599,https://www.myntra.com/dresses/baesd/baesd-floral-print-fit--flare-dress/27985674/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/27985674/2024/3/1/861e38e0-7c9a-4b73-b7ca-99155a5ce7371709310937105BAESDFloralPrintFitFlareDress1.jpg",bohemian
28244954,StyleCast,StyleCast Grey & Yellow Floral Printed Chiffon A-Line Dress,StyleCast Grey & Yellow Floral Printed Chiffon A-Line Dress,1299,https://www.myntra.com/dresses/stylecast/stylecast-grey--yellow-floral-printed-chiffon-a-line-dress/28244954/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/28244954/2024/3/13/0b1bbc6d-3209-4c97-9788-5605e822ca301710338228850StyleCastFloralPrintChiffonA-LineDress1.jpg",bohemian
17142516,Athena,Athena Women Pretty Pink Floral Volume Play Dress,Athena Women Pretty Pink Floral Volume Play Dress,839,https://www.myntra.com/dresses/athena/athena-women-pretty-pink-floral-volume-play-dress/17142516/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/17142516/2022/10/20/2cdbee50-64d1-4023-a829-c5dc977a2eae1666258203981AthenaWomenPrettyPinkFloralVolumePlayDress2.jpg",bohemian
19351058,anayna,anayna Green & Pink Ethnic Motifs Printed Tiered Pure Cotton A-Line Midi Dress,anayna Green & Pink Ethnic Motifs Printed Tiered Pure Cotton A-Line Midi Dress,998,https://www.myntra.com/dresses/anayna/anayna-green--pink-ethnic-motifs-printed-tiered-pure-cotton-a-line-midi-dress/19351058/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/19351058/2022/8/17/f4fccf30-e569-4f4b-acbb-7ed400ce7bb51660721413517-Anayna-Womens-Printed-Tier-Dress-6161660721413030-1.jpg",bohemian
22270028,Antheaa,Antheaa Square Neck Floral Printed Smocked Tiered Chiffon Fit & Flare Midi Dress,Antheaa Square Neck Floral Printed Smocked Tiered Chiffon Fit & Flare Midi Dress,1023,https://www.myntra.com/dresses/antheaa/antheaa-square-neck-floral-printed-smocked-tiered-chiffon-fit--flare-midi-dress/22270028/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/22270028/2023/3/9/e0dde381-c0b1-4013-ac6c-81e305db96351678369098845AntheaaBlueFloralPrintPuffSleeveChiffonFitFlareMidiDress1.jpg",bohemian
29277786,Berrylush Curve,Berrylush Curve Plus Size V-Neck Printed Playsuit,Berrylush Curve Plus Size V-Neck Printed Playsuit,896,https://www.myntra.com/jumpsuit/berrylush+curve/berrylush-curve-plus-size-v-neck-printed-playsuit/29277786/buy,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/29277786/2024/4/30/9ea20524-9ea5-46a9-91d1-27637a6450891714493225366BerrylushCurveWomenGreenFloralPrintedV-NeckFlutterSleeveWais1.jpg",bohemian
